name,figi,currency,closed,dt
Тинькофф iMOEX,BBG333333333,rub,5.732,2021-03-04
Тинькофф iMOEX,BBG333333333,rub,5.734,2021-03-05
Тинькофф iMOEX,BBG333333333,rub,5.856,2021-03-09
Тинькофф iMOEX,BBG333333333,rub,5.834,2021-03-10
Тинькофф iMOEX,BBG333333333,rub,5.89,2021-03-11
Тинькофф iMOEX,BBG333333333,rub,5.932,2021-03-12
Тинькофф iMOEX,BBG333333333,rub,6.04,2021-03-15
Тинькофф iMOEX,BBG333333333,rub,6.022,2021-03-16
Тинькофф iMOEX,BBG333333333,rub,5.902,2021-03-17
Тинькофф iMOEX,BBG333333333,rub,5.912,2021-03-18
Тинькофф iMOEX,BBG333333333,rub,5.86,2021-03-19
Тинькофф iMOEX,BBG333333333,rub,5.886,2021-03-22
Тинькофф iMOEX,BBG333333333,rub,5.838,2021-03-23
Тинькофф iMOEX,BBG333333333,rub,5.856,2021-03-24
Тинькофф iMOEX,BBG333333333,rub,5.806,2021-03-25
Тинькофф iMOEX,BBG333333333,rub,5.866,2021-03-26
Тинькофф iMOEX,BBG333333333,rub,5.928,2021-03-29
Тинькофф iMOEX,BBG333333333,rub,5.924,2021-03-30
Тинькофф iMOEX,BBG333333333,rub,5.944,2021-03-31
Тинькофф iMOEX,BBG333333333,rub,5.954,2021-04-01
Тинькофф iMOEX,BBG333333333,rub,5.994,2021-04-02
Тинькофф iMOEX,BBG333333333,rub,5.932,2021-04-05
Тинькофф iMOEX,BBG333333333,rub,5.896,2021-04-06
Тинькофф iMOEX,BBG333333333,rub,5.892,2021-04-07
Тинькофф iMOEX,BBG333333333,rub,5.898,2021-04-08
Тинькофф iMOEX,BBG333333333,rub,5.876,2021-04-09
Тинькофф iMOEX,BBG333333333,rub,5.918,2021-04-12
Тинькофф iMOEX,BBG333333333,rub,5.936,2021-04-13
Тинькофф iMOEX,BBG333333333,rub,5.984,2021-04-14
Тинькофф iMOEX,BBG333333333,rub,5.972,2021-04-15
Тинькофф iMOEX,BBG333333333,rub,6.028,2021-04-16
Тинькофф iMOEX,BBG333333333,rub,6.012,2021-04-19
Тинькофф iMOEX,BBG333333333,rub,5.972,2021-04-20
Тинькофф iMOEX,BBG333333333,rub,5.994,2021-04-21
Тинькофф iMOEX,BBG333333333,rub,6.052,2021-04-22
Тинькофф iMOEX,BBG333333333,rub,6.038,2021-04-23
Тинькофф iMOEX,BBG333333333,rub,6.064,2021-04-26
Тинькофф iMOEX,BBG333333333,rub,6.066,2021-04-27
Тинькофф iMOEX,BBG333333333,rub,6.038,2021-04-28
Тинькофф iMOEX,BBG333333333,rub,6.014,2021-04-29
Тинькофф iMOEX,BBG333333333,rub,5.97,2021-04-30
Тинькофф iMOEX,BBG333333333,rub,6.034,2021-05-04
Тинькофф iMOEX,BBG333333333,rub,6.114,2021-05-05
Тинькофф iMOEX,BBG333333333,rub,6.156,2021-05-06
Тинькофф iMOEX,BBG333333333,rub,6.204,2021-05-07
Тинькофф iMOEX,BBG333333333,rub,6.238,2021-05-10
Тинькофф iMOEX,BBG333333333,rub,6.202,2021-05-11
Тинькофф iMOEX,BBG333333333,rub,6.232,2021-05-12
Тинькофф iMOEX,BBG333333333,rub,6.196,2021-05-13
Тинькофф iMOEX,BBG333333333,rub,6.208,2021-05-14
Тинькофф iMOEX,BBG333333333,rub,6.19,2021-05-17
Тинькофф iMOEX,BBG333333333,rub,6.284,2021-05-18
Тинькофф iMOEX,BBG333333333,rub,6.196,2021-05-19
Тинькофф iMOEX,BBG333333333,rub,6.196,2021-05-20
Тинькофф iMOEX,BBG333333333,rub,6.234,2021-05-21
Тинькофф iMOEX,BBG333333333,rub,6.238,2021-05-24
Тинькофф iMOEX,BBG333333333,rub,6.278,2021-05-25
Тинькофф iMOEX,BBG333333333,rub,6.322,2021-05-26
Тинькофф iMOEX,BBG333333333,rub,6.36,2021-05-27
Тинькофф iMOEX,BBG333333333,rub,6.366,2021-05-28
Тинькофф iMOEX,BBG333333333,rub,6.366,2021-05-31
Тинькофф iMOEX,BBG333333333,rub,6.446,2021-06-01
Тинькофф iMOEX,BBG333333333,rub,6.488,2021-06-02
Тинькофф iMOEX,BBG333333333,rub,6.494,2021-06-03
Тинькофф iMOEX,BBG333333333,rub,6.516,2021-06-04
Тинькофф iMOEX,BBG333333333,rub,6.538,2021-06-07
Тинькофф iMOEX,BBG333333333,rub,6.524,2021-06-08
Тинькофф iMOEX,BBG333333333,rub,6.556,2021-06-09
Тинькофф iMOEX,BBG333333333,rub,6.562,2021-06-10
Тинькофф iMOEX,BBG333333333,rub,6.578,2021-06-11
Тинькофф iMOEX,BBG333333333,rub,6.614,2021-06-14
Тинькофф iMOEX,BBG333333333,rub,6.556,2021-06-15
Тинькофф iMOEX,BBG333333333,rub,6.57,2021-06-16
Тинькофф iMOEX,BBG333333333,rub,6.532,2021-06-17
Тинькофф iMOEX,BBG333333333,rub,6.486,2021-06-18
Тинькофф iMOEX,BBG333333333,rub,6.516,2021-06-21
Тинькофф iMOEX,BBG333333333,rub,6.556,2021-06-22
Тинькофф iMOEX,BBG333333333,rub,6.572,2021-06-23
Тинькофф iMOEX,BBG333333333,rub,6.532,2021-06-24
Тинькофф iMOEX,BBG333333333,rub,6.544,2021-06-25
Тинькофф iMOEX,BBG333333333,rub,6.56,2021-06-28
Тинькофф iMOEX,BBG333333333,rub,6.486,2021-06-29
Тинькофф iMOEX,BBG333333333,rub,6.558,2021-06-30
Тинькофф iMOEX,BBG333333333,rub,6.612,2021-07-01
Тинькофф iMOEX,BBG333333333,rub,6.662,2021-07-02
Тинькофф iMOEX,BBG333333333,rub,6.678,2021-07-05
Тинькофф iMOEX,BBG333333333,rub,6.68,2021-07-06
Тинькофф iMOEX,BBG333333333,rub,6.718,2021-07-07
Тинькофф iMOEX,BBG333333333,rub,6.654,2021-07-08
Тинькофф iMOEX,BBG333333333,rub,6.662,2021-07-09
Тинькофф iMOEX,BBG333333333,rub,6.696,2021-07-12
Тинькофф iMOEX,BBG333333333,rub,6.686,2021-07-13
Тинькофф iMOEX,BBG333333333,rub,6.662,2021-07-14
Тинькофф iMOEX,BBG333333333,rub,6.604,2021-07-15
Тинькофф iMOEX,BBG333333333,rub,6.552,2021-07-16
Тинькофф iMOEX,BBG333333333,rub,6.422,2021-07-19
Тинькофф iMOEX,BBG333333333,rub,6.472,2021-07-20
Тинькофф iMOEX,BBG333333333,rub,6.496,2021-07-21
Тинькофф iMOEX,BBG333333333,rub,6.536,2021-07-22
Тинькофф iMOEX,BBG333333333,rub,6.516,2021-07-23
Тинькофф iMOEX,BBG333333333,rub,6.534,2021-07-26
Тинькофф iMOEX,BBG333333333,rub,6.514,2021-07-27
Тинькофф iMOEX,BBG333333333,rub,6.558,2021-07-28
Тинькофф iMOEX,BBG333333333,rub,6.63,2021-07-29
Тинькофф iMOEX,BBG333333333,rub,6.578,2021-07-30
Тинькофф iMOEX,BBG333333333,rub,6.6,2021-08-02
Тинькофф iMOEX,BBG333333333,rub,6.606,2021-08-03
Тинькофф iMOEX,BBG333333333,rub,6.63,2021-08-04
Тинькофф iMOEX,BBG333333333,rub,6.654,2021-08-05
Тинькофф iMOEX,BBG333333333,rub,6.634,2021-08-06
Тинькофф iMOEX,BBG333333333,rub,6.67,2021-08-09
Тинькофф iMOEX,BBG333333333,rub,6.722,2021-08-10
Тинькофф iMOEX,BBG333333333,rub,6.756,2021-08-11
Тинькофф iMOEX,BBG333333333,rub,6.778,2021-08-12
Тинькофф iMOEX,BBG333333333,rub,6.754,2021-08-13
Тинькофф iMOEX,BBG333333333,rub,6.778,2021-08-16
Тинькофф iMOEX,BBG333333333,rub,6.864,2021-08-17
Тинькофф iMOEX,BBG333333333,rub,6.838,2021-08-18
Тинькофф iMOEX,BBG333333333,rub,6.738,2021-08-19
Тинькофф iMOEX,BBG333333333,rub,6.7,2021-08-20
Тинькофф iMOEX,BBG333333333,rub,6.754,2021-08-23
Тинькофф iMOEX,BBG333333333,rub,6.776,2021-08-24
Тинькофф iMOEX,BBG333333333,rub,6.766,2021-08-25
Тинькофф iMOEX,BBG333333333,rub,6.72,2021-08-26
Тинькофф iMOEX,BBG333333333,rub,6.758,2021-08-27
Тинькофф iMOEX,BBG333333333,rub,6.828,2021-08-30
Тинькофф iMOEX,BBG333333333,rub,6.824,2021-08-31
Тинькофф iMOEX,BBG333333333,rub,6.9,2021-09-01
Тинькофф iMOEX,BBG333333333,rub,6.95,2021-09-02
Тинькофф iMOEX,BBG333333333,rub,6.958,2021-09-03
Тинькофф iMOEX,BBG333333333,rub,7.022,2021-09-06
Тинькофф iMOEX,BBG333333333,rub,6.99,2021-09-07
Тинькофф iMOEX,BBG333333333,rub,7.02,2021-09-08
Тинькофф iMOEX,BBG333333333,rub,6.962,2021-09-09
Тинькофф iMOEX,BBG333333333,rub,6.984,2021-09-10
Тинькофф iMOEX,BBG333333333,rub,7.05,2021-09-13
Тинькофф iMOEX,BBG333333333,rub,7.086,2021-09-14
Тинькофф iMOEX,BBG333333333,rub,7.114,2021-09-15
Тинькофф iMOEX,BBG333333333,rub,7.04,2021-09-16
Тинькофф iMOEX,BBG333333333,rub,7.014,2021-09-17
Тинькофф iMOEX,BBG333333333,rub,6.928,2021-09-20
Тинькофф iMOEX,BBG333333333,rub,6.934,2021-09-21
Тинькофф iMOEX,BBG333333333,rub,7.032,2021-09-22
Тинькофф iMOEX,BBG333333333,rub,7.064,2021-09-23
